name,units,query_name,shortname,id,access_type,fc,an,note
10 metre wind gust in the last 3 hours,m s-1,10m_wind_gust_in_the_last_3_hours,10fg3,228028,,,X,Only available from 21 June 2016 00UTC
Asymmetry factor at 1020 nm,dimensionless,asymmetry_factor_1020nm,asymmetry1020,215164,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 1064 nm,dimensionless,asymmetry_factor_1064nm,asymmetry1064,215165,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 1240 nm,dimensionless,asymmetry_factor_1240nm,asymmetry1240,215166,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 1640 nm,dimensionless,asymmetry_factor_1640nm,asymmetry1640,215167,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 2130 nm,dimensionless,asymmetry_factor_2130nm,asymmetry2130,215179,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 340 nm,dimensionless,asymmetry_factor_340nm,asymmetry340,215150,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 355 nm,dimensionless,asymmetry_factor_355nm,asymmetry355,215151,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 380 nm,dimensionless,asymmetry_factor_380nm,asymmetry380,215152,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 400 nm,dimensionless,asymmetry_factor_400nm,asymmetry400,215153,,X,X,Only available from 27 June 2018 00UTC
Asymmetry factor at 440 nm,dimensionless,asymmetry_factor_440nm,asymmetry440,215154,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 469 nm,dimensionless,asymmetry_factor_469nm,asymmetry469,215155,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 500 nm,dimensionless,asymmetry_factor_500nm,asymmetry500,215156,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 532 nm,dimensionless,asymmetry_factor_532nm,asymmetry532,215157,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 550 nm,dimensionless,asymmetry_factor_550nm,asymmetry550,215158,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 645 nm,dimensionless,asymmetry_factor_645nm,asymmetry645,215159,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 670 nm,dimensionless,asymmetry_factor_670nm,asymmetry670,215160,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 800 nm,dimensionless,asymmetry_factor_800nm,asymmetry800,215161,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 858 nm,dimensionless,asymmetry_factor_858nm,asymmetry858,215162,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 865 nm,dimensionless,asymmetry_factor_865nm,asymmetry865,215163,,X,X,Only available from 26 June 2018 12UTC
Boundary layer height,m,boundary_layer_height,blh,159,,X,,
Clear-sky direct solar radiation at surface,J m-2,clear_sky_direct_solar_radiation_at_surface,cdir,228022,,X,,
Clear sky surface photosynthetically active radiation,J m-2,clear_sky_surface_photosynthetically_active_radiation,parcs,20,,X,,Only available from 24 January 2017 12UTC
Cloud base height,m,cloud_base_height,cbh,228023,,X,,
Convective available potential energy,J kg-1,convective_available_potential_energy,cape,59,,X,,
Convective inhibition,J kg-1,convective_inhibition,cin,228001,,X,X,
Convective precipitation,m,convective_precipitation,cp,143,,X,X,
Direct solar radiation,J m-2,direct_solar_radiation,dsrp,47,,X,,Only available from 24 January 2017 12UTC
Downward UV radiation at the surface,J m-2,downward_uv_radiation_at_the_surface,uvb,57,,X,,
Dry deposition of ammonium aerosol,kg m-2 s-1,dry_deposition_of_ammonium_aerosol,aerddpam,215206,,X,,Only available from 9 July 2019 00UTC
Dry deposition of coarse-mode nitrate aerosol,kg m-2 s-1,dry_deposition_of_coarse_mode_nitrate_aerosol,aerddpnic,215192,,X,,Only available from 9 July 2019 00UTC
Dry deposition of dust aerosol (0.03 - 0.55 um),kg m-2 s-1,dry_deposition_of_dust_aerosol_0.03-0.55um,aerddpdus,215028,,X,,Only available from 26 June 2018 12UTC
Dry deposition of dust aerosol (0.55 - 9 um),kg m-2 s-1,dry_deposition_of_dust_aerosol_0.55-9um,aerddpdum,215029,,X,,Only available from 26 June 2018 12UTC
Dry deposition of dust aerosol (9 - 20 um),kg m-2 s-1,dry_deposition_of_dust_aerosol_9-20um,aerddpdul,215030,,X,,Only available from 26 June 2018 12UTC
Dry deposition of fine-mode nitrate aerosol,kg m-2 s-1,dry_deposition_of_fine_mode_nitrate_aerosol,aerddpnif,215191,,X,,Only available from 9 July 2019 00UTC
Dry deposition of hydrophilic black carbon aerosol,kg m-2 s-1,dry_deposition_of_hydrophilic_black_carbon_aerosol,aerddpbchphil,215068,,X,,Only available from 26 June 2018 12UTC
Dry deposition of hydrophilic organic matter aerosol,kg m-2 s-1,dry_deposition_of_hydrophilic_organic_matter_aerosol,aerddpomhphil,215052,,X,,Only available from 26 June 2018 12UTC
Dry deposition of hydrophobic black carbon aerosol,kg m-2 s-1,dry_deposition_of_hydrophobic_black_carbon_aerosol,aerddpbchphob,215067,,X,,Only available from 26 June 2018 12UTC
Dry deposition of hydrophobic organic matter aerosol,kg m-2 s-1,dry_deposition_of_hydrophobic_organic_matter_aerosol,aerddpomhphob,215051,,X,,Only available from 26 June 2018 12UTC
Dry deposition of sea salt aerosol (0.03 - 0.5 um),kg m-2 s-1,dry_deposition_of_sea_salt_aerosol_0.03-0.5um,aerddpsss,215004,,X,,Only available from 26 June 2018 12UTC
Dry deposition of sea salt aerosol (0.5 - 5 um),kg m-2 s-1,dry_deposition_of_sea_salt_aerosol_0.5-5um,aerddpssm,215005,,X,,Only available from 26 June 2018 12UTC
Dry deposition of sea salt aerosol (5 - 20 um),kg m-2 s-1,dry_deposition_of_sea_salt_aerosol_5-20um,aerddpssl,215006,,X,,Only available from 26 June 2018 12UTC
Dry deposition of sulphate aerosol,kg m-2 s-1,dry_deposition_of_sulphate_aerosol,aerddpsu,215082,,X,,Only available from 26 June 2018 12UTC
Dust aerosol (0.03 - 0.55 um) optical depth,dimensionless,dust_aerosol_0.03-0.55um_optical_depth_550nm,aeroddus,215046,,X,X,
Dust aerosol (0.55 - 9 um) optical depth,dimensionless,dust_aerosol_0.55-9um_optical_depth_550nm,aeroddum,215047,,X,X,
Dust aerosol (9 - 20 um) optical depth,dimensionless,dust_aerosol_9-20um_optical_depth_550nm,aeroddul,215048,,X,X,
Evaporation,m of water equivalent,evaporation,e,182,,X,,
Forecast albedo,(0 - 1),forecast_albedo,fal,243,,X,,
Friction velocity,m s-1,friction_velocity,zust,228003,,X,,
Height of convective cloud top,m,height_of_convective_cloud_top,hcct,228046,,X,,Only available from 24 January 2017 12UTC
High cloud cover,(0 - 1),high_cloud_cover,hcc,188,,X,X,
Hydrophilic black carbon aerosol optical depth,dimensionless,hydrophilic_black_carbon_aerosol_optical_depth_550nm,aerodbchphil,215080,,X,X,
Hydrophilic organic matter aerosol optical depth,dimensionless,hydrophilic_organic_matter_aerosol_optical_depth_550nm,aerodomhphil,215064,,X,X,
Hydrophobic black carbon aerosol optical depth,dimensionless,hydrophobic_black_carbon_aerosol_optical_depth_550nm,aerodbchphob,215079,,X,X,
Hydrophobic organic matter aerosol optical depth,dimensionless,hydrophobic_organic_matter_aerosol_optical_depth_550nm,aerodomhphob,215063,,X,X,
Lake cover,(0 - 1),lake_cover,cl,26,,X,X,Only available from 03 September 2015 00UTC
